0.00	0.000000e+00
0.01	1.930491e-25
0.02	2.122521e-23
0.03	1.910632e-21
0.04	1.408132e-19
0.05	8.496709e-18
0.06	4.197582e-16
0.07	1.697809e-14
0.08	5.622371e-13
0.09	1.524373e-11
0.10	3.383796e-10
0.11	6.149760e-09
0.12	9.150678e-08
0.13	1.114781e-06
0.14	1.111903e-05
0.15	9.079986e-05
0.16	6.070783e-04
0.17	3.323115e-03
0.18	1.489317e-02
0.19	5.464744e-02
0.20	1.641700e-01
0.21	4.037930e-01
0.22	8.131393e-01
0.23	1.340640e+00
0.24	1.809675e+00
0.25	2.000000e+00
0.26	1.809675e+00
0.27	1.340640e+00
0.28	8.131393e-01
0.29	4.037930e-01
0.30	1.641700e-01
0.31	5.464744e-02
0.32	1.489317e-02
0.33	3.323115e-03
0.34	6.070783e-04
0.35	9.079986e-05
0.36	1.111903e-05
0.37	1.114781e-06
0.38	9.150678e-08
0.39	6.149760e-09
0.40	3.383796e-10
0.41	1.524373e-11
0.42	5.622371e-13
0.43	1.697809e-14
0.44	4.197582e-16
0.45	8.496709e-18
0.46	1.408132e-19
0.47	1.910632e-21
0.48	2.122521e-23
0.49	1.930491e-25
0.50	0.000000e+00


0.00	0.000000e+00
0.01	5.402826e-24
0.02	4.883189e-22
0.03	3.616392e-20
0.04	2.195061e-18
0.05	1.092231e-16
0.06	4.456525e-15
0.07	1.491532e-13
0.08	4.096296e-12
0.09	9.235732e-11
0.10	1.710441e-09
0.11	2.603617e-08
0.12	3.259860e-07
0.13	3.360024e-06
0.14	2.853817e-05
0.15	1.999493e-04
0.16	1.157018e-03
0.17	5.536618e-03
0.18	2.193922e-02
0.19	7.208951e-02
0.20	1.966951e-01
0.21	4.462238e-01
0.22	8.426779e-01
0.23	1.326024e+00
0.24	1.739997e+00
0.25	1.904837e+00
0.26	1.739997e+00
0.27	1.326024e+00
0.28	8.426779e-01
0.29	4.462238e-01
0.30	1.966951e-01
0.31	7.208951e-02
0.32	2.193922e-02
0.33	5.536618e-03
0.34	1.157018e-03
0.35	1.999493e-04
0.36	2.853817e-05
0.37	3.360024e-06
0.38	3.259860e-07
0.39	2.603617e-08
0.40	1.710441e-09
0.41	9.235732e-11
0.42	4.096296e-12
0.43	1.491532e-13
0.44	4.456525e-15
0.45	1.092231e-16
0.46	2.195061e-18
0.47	3.616392e-20
0.48	4.883189e-22
0.49	5.402826e-24
0.50	0.000000e+00


0.00	0.000000e+00
0.01	1.299909e-22
0.02	9.753584e-21
0.03	6.012227e-19
0.04	3.046660e-17
0.05	1.270018e-15
0.06	4.358065e-14
0.07	1.231940e-12
0.08	2.870882e-11
0.09	5.519265e-10
0.10	8.759413e-09
0.11	1.148286e-07
0.12	1.243987e-06
0.13	1.114129e-05
0.14	8.251555e-05
0.15	5.055130e-04
0.16	2.562590e-03
0.17	1.075587e-02
0.18	3.742220e-02
0.19	1.081454e-01
0.20	2.604510e-01
0.21	5.253860e-01
0.22	8.939395e-01
0.23	1.294064e+00
0.24	1.608037e+00
0.25	1.727255e+00
0.26	1.608037e+00
0.27	1.294064e+00
0.28	8.939395e-01
0.29	5.253860e-01
0.30	2.604510e-01
0.31	1.081454e-01
0.32	3.742220e-02
0.33	1.075587e-02
0.34	2.562590e-03
0.35	5.055130e-04
0.36	8.251555e-05
0.37	1.114129e-05
0.38	1.243987e-06
0.39	1.148286e-07
0.40	8.759413e-09
0.41	5.519265e-10
0.42	2.870882e-11
0.43	1.231940e-12
0.44	4.358065e-14
0.45	1.270018e-15
0.46	3.046660e-17
0.47	6.012227e-19
0.48	9.753584e-21
0.49	1.299909e-22
0.50	0.000000e+00


0.00	0.000000e+00
0.01	2.627980e-21
0.02	1.644802e-19
0.03	8.484758e-18
0.04	3.611597e-16
0.05	1.269858e-14
0.06	3.692169e-13
0.07	8.886858e-12
0.08	1.772565e-10
0.09	2.932563e-09
0.10	4.027381e-08
0.11	4.593934e-07
0.12	4.354026e-06
0.13	3.429180e-05
0.14	2.243987e-04
0.15	1.219597e-03
0.16	5.502214e-03
0.17	2.059339e-02
0.18	6.391940e-02
0.19	1.645969e-01
0.20	3.523643e-01
0.21	6.304528e-01
0.22	9.530938e-01
0.23	1.240567e+00
0.24	1.427387e+00
0.25	1.490063e+00
0.26	1.427387e+00
0.27	1.240567e+00
0.28	9.530938e-01
0.29	6.304528e-01
0.30	3.523643e-01
0.31	1.645969e-01
0.32	6.391940e-02
0.33	2.059339e-02
0.34	5.502214e-03
0.35	1.219597e-03
0.36	2.243987e-04
0.37	3.429180e-05
0.38	4.354026e-06
0.39	4.593934e-07
0.40	4.027381e-08
0.41	2.932563e-09
0.42	1.772565e-10
0.43	8.886858e-12
0.44	3.692169e-13
0.45	1.269858e-14
0.46	3.611597e-16
0.47	8.484758e-18
0.48	1.644802e-19
0.49	2.627980e-21
0.50	0.000000e+00


0.00	0.000000e+00
0.01	4.493203e-20
0.02	2.358813e-18
0.03	1.024569e-16
0.04	3.688040e-15
0.05	1.101724e-13
0.06	2.735134e-12
0.07	5.650479e-11
0.08	9.725384e-10
0.09	1.395968e-08
0.10	1.672328e-07
0.11	1.672836e-06
0.12	1.397485e-05
0.13	9.748460e-05
0.14	5.675547e-04
0.15	2.755535e-03
0.16	1.114398e-02
0.17	3.748961e-02
0.18	1.047545e-01
0.19	2.428209e-01
0.20	4.668578e-01
0.21	7.466577e-01
0.22	1.003456e+00
0.23	1.161906e+00
0.24	1.215702e+00
0.25	1.221533e+00
0.26	1.215702e+00
0.27	1.161906e+00
