1	4
2	8
3	16
4	22
5	34
6	45
7	58
8	73
9	83
10	100
11	117
12	133
13	149
14	173
15	198
16	225
17	251
18	278
19	311
20	348
21	376
22	405
23	432
24	464
25	509
26	538
27	569
28	602
29	652
30	694
31	731
32	775
33	808
34	833
35	861
36	887
37	932
38	964
39	990
40	1018
41	1045
42	1076
43	1103
44	1124
45	1147
46	1165
47	1181
48	1191
49	1199
50	1204
